ID:,DF692435CB1C3125,,,,
Temperature Unit of Measure is Celsius,,,,,
Date format is MM/DD/YYYY,,,,,
Start Time and Date,,10:00,1/20/2021,,
Stop Time and Date,,16:45,2/3/2021,,
,,,,,
Minimum Temperature,,,,,
P1,2.31,13:57,1/27/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Maximum Temperature,,,,,
P1,6.1,14:08,1/29/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Alarm Event Data,,,,,
Probe,Temp,Time Out,Date Out,Time In,Date In
,,,,,
Temperature Data,,,,,
P1,P2,Time,Date,,
4.89, --.--,21:30,1/29/2021,,
5.74, --.--,21:15,1/29/2021,,
5.41, --.--,21:00,1/29/2021,,
3.72, --.--,20:45,1/29/2021,,
2.58, --.--,20:30,1/29/2021,,
3.27, --.--,20:15,1/29/2021,,
4.28, --.--,20:00,1/29/2021,,
5.25, --.--,19:45,1/29/2021,,
5.95, --.--,19:30,1/29/2021,,
4.65, --.--,19:15,1/29/2021,,
2.87, --.--,19:00,1/29/2021,,
2.91, --.--,18:45,1/29/2021,,
4.01, --.--,18:30,1/29/2021,,
5.11, --.--,18:15,1/29/2021,,
6.02, --.--,18:00,1/29/2021,,
4.51, --.--,17:45,1/29/2021,,
2.61, --.--,17:30,1/29/2021,,
3.32, --.--,17:15,1/29/2021,,
4.46, --.--,17:00,1/29/2021,,
5.49, --.--,16:45,1/29/2021,,
5.74, --.--,16:30,1/29/2021,,
3.83, --.--,16:15,1/29/2021,,
2.57, --.--,16:00,1/29/2021,,
3.31, --.--,15:45,1/29/2021,,
4.35, --.--,15:30,1/29/2021,,
5.24, --.--,15:15,1/29/2021,,
5.9, --.--,15:00,1/29/2021,,
4.93, --.--,14:45,1/29/2021,,
3.61, --.--,14:30,1/29/2021,,
2.68, --.--,14:15,1/29/2021,,
4.84, --.--,14:00,1/29/2021,,
5.42, --.--,13:45,1/29/2021,,
5.7, --.--,13:30,1/29/2021,,
5.33, --.--,13:15,1/29/2021,,
5.48, --.--,13:00,1/29/2021,,
5.85, --.--,12:45,1/29/2021,,
4.83, --.--,12:30,1/29/2021,,
3.35, --.--,12:15,1/29/2021,,
